red_model,blue_model,seed,winner,red_score,blue_score,total_turns,game_duration
bert,openai,42,blue,5,8,4,26.43112301826477
bert,openai,123,red,9,7,5,31.20245361328125
bert,openai,456,blue,3,8,4,23.810620069503784
bert,openai,789,blue,3,8,4,25.242130994796753
bert,openai,1011,blue,5,8,4,26.79857301712036
bert,openai,1213,blue,7,8,4,27.32317543029785
bert,openai,1415,blue,7,8,4,26.05381178855896
bert,openai,1617,blue,5,8,4,27.30541205406189
bert,openai,1819,red,9,6,3,22.01403021812439
bert,openai,2021,blue,8,8,4,29.293319702148438
bert,openai,2223,blue,7,8,4,27.60076355934143
bert,openai,2425,blue,7,8,4,26.629311084747314
bert,openai,2627,blue,5,8,4,26.42302131652832
bert,openai,2829,blue,8,8,4,33.90408134460449
bert,openai,3031,blue,7,8,4,33.53950071334839
bert,openai,3233,red,9,6,3,26.640121459960938
bert,openai,3435,red,9,6,3,28.7446506023407
bert,openai,3637,red,9,6,3,26.23598551750183
bert,openai,3839,blue,7,8,4,33.561946630477905
bert,openai,4041,red,9,6,3,27.708131790161133
bert,openai,4243,red,9,6,3,25.19100546836853
bert,openai,4445,red,9,7,7,44.254663944244385
bert,openai,4647,blue,7,8,4,29.70094394683838
bert,openai,4849,blue,4,8,4,30.611703157424927
bert,openai,5051,blue,6,8,4,30.14503288269043
bert,openai,5253,blue,8,8,4,30.883586168289185
bert,openai,5455,blue,7,8,4,30.50022053718567
bert,openai,5657,blue,5,8,4,27.95377492904663
bert,openai,5859,red,9,5,3,26.632986307144165
bert,openai,6061,blue,8,8,4,30.487048149108887
bert,openai,6263,red,9,6,3,26.853323459625244
bert,openai,6465,red,9,6,3,24.092928171157837
bert,openai,6667,blue,3,8,4,29.54203701019287
bert,openai,6869,blue,6,8,4,28.82380175590515
bert,openai,7071,blue,6,8,4,31.43552303314209
bert,openai,7273,blue,6,8,4,31.181365489959717
bert,openai,7475,red,9,6,3,27.217023611068726
bert,openai,7677,blue,7,8,4,30.400113344192505
bert,openai,7879,blue,5,8,4,31.167221546173096
bert,openai,8081,blue,7,8,4,30.77361798286438
bert,openai,8283,red,9,6,3,26.138835430145264
bert,openai,8485,blue,7,8,4,32.15651178359985
bert,openai,8687,red,9,6,3,25.31363034248352
bert,openai,8889,blue,7,8,4,30.56064534187317
bert,openai,9091,blue,8,8,4,30.69986581802368
bert,openai,9293,blue,7,8,4,34.98435091972351
bert,openai,9495,blue,6,8,3,23.51197624206543
bert,openai,9697,blue,5,8,4,31.061471223831177
bert,openai,9899,blue,6,8,4,32.49574589729309
bert,openai,10101,red,9,6,3,25.70687174797058
openai,bert,42,red,9,4,3,25.383864164352417
openai,bert,123,red,9,5,3,27.271732091903687
openai,bert,456,red,9,6,3,28.791600942611694
openai,bert,789,blue,8,8,4,31.266031503677368
openai,bert,1011,red,9,5,3,28.496183156967163
openai,bert,1213,red,9,5,3,26.5266330242157
openai,bert,1415,blue,7,8,4,30.128244400024414
openai,bert,1617,red,9,2,3,24.698052883148193
openai,bert,1819,red,9,3,3,24.62250828742981
openai,bert,2021,red,9,0,3,23.80330777168274
openai,bert,2223,red,9,4,3,25.55727458000183
openai,bert,2425,red,9,2,3,23.387921810150146
openai,bert,2627,red,9,7,4,33.174609899520874
openai,bert,2829,red,9,6,3,27.063371419906616
openai,bert,3031,red,9,2,3,25.11960005760193
openai,bert,3233,red,9,6,3,27.47599744796753
openai,bert,3435,red,9,2,3,26.313295602798462
